Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Yosdenis Cedeno,Loss,3–2,Jonathan Brookins,Decision (unanimous),G-Force Fights - Bad Blood 3,"February 4, 2010",3,5:00
Yosdenis Cedeno,Win,3–1,Johnny Iwasaki,TKO (punches),NDC 1 - Peru vs. American Top Team,"October 17, 2009",1,4:09
Yosdenis Cedeno,Loss,2–1,Derek Campos,Submission,Art of War - Mano A Mano,"July 12, 2009",3,1:59
Yosdenis Cedeno,Win,2–0,Rod Nieves,TKO (punches),XFN - Da Matta vs. Thorne,"May 14, 2009",1,4:26
Yosdenis Cedeno,Win,1–0,Giovanni Moljo,TKO (punches),RFC - Revolution Fight Club 3,"February 20, 2009",1,0:42
Eddie Gordon,Loss,8–7,John Howard,Decision (unanimous),PFL 10,"October 20, 2018",2,5:00
Eddie Gordon,Loss,8–6,Gasan Umalatov,Decision (unanimous),PFL 6,"August 16, 2018",3,5:00
Eddie Gordon,Loss,8–5,Shamil Gamzatov,Decision (unanimous),PFL 3,"July 5, 2018",3,5:00
Eddie Gordon,Win,8–4,Chris Lozano,Decision (split),Cage Fury Fighting Championships 60,"August 6, 2016",3,5:00
Eddie Gordon,Loss,7–4,Antônio Carlos Júnior,Submission (rear-naked choke),UFC Fight Night: Machida vs. Romero,"June 27, 2015",3,4:37
Eddie Gordon,Loss,7–3,Chris Dempsey,Decision (split),UFC on Fox: Machida vs. Rockhold,"April 18, 2015",3,5:00
Eddie Gordon,Loss,7–2,Josh Samman,KO (head kick),UFC 181,"December 6, 2014",2,3:08
Eddie Gordon,Win,7–1,Dhiego Lima,KO (punches),The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"July 6, 2014",1,1:11
Eddie Gordon,Win,6–1,Oscar Delgado,Submission (rear-naked choke),CFA 11,"May 24, 2013",2,1:32
Eddie Gordon,Loss,5–1,Anton Talamantes,Decision (unanimous),Ring of Combat 42,"September 14, 2012",3,5:00
Eddie Gordon,Win,5–0,Carlos Brooks,Decision (unanimous),Ring of Combat 41,"June 15, 2012",3,5:00
Eddie Gordon,Win,4–0,Ryan Contaldi,KO (punch),Ring of Combat 40,"April 27, 2012",1,2:58
Eddie Gordon,Win,3–0,David Tkeshelashvili,Decision (majority),Ring of Combat 39,"February 10, 2012",3,4:00
Eddie Gordon,Win,2–0,Steve Edwards,TKO (doctor stoppage),Ring of Combat 37,"September 9, 2011",2,4:00
Eddie Gordon,Win,1–0,J.A. Dudley,Decision (unanimous),Ring of Combat 36,"June 17, 2011",3,4:00
Niklas Bäckström,Loss,11-3 (1),Andrew Fisher,Decision (unanimous),ACB 65: Silva vs. Agnaev,"July 22, 2017",3,5:00
Niklas Bäckström,Win,11–2 (1),Joni Salovaara,Decision (unanimous),Cage 37: Bäckström vs. Salovaara,"November 26, 2016",3,5:00
Niklas Bäckström,Win,10–2 (1),Danijel Kokora,Submission (rear-naked choke),Scandinavian Fight Nights 1,"June 4, 2016",1,N/A
Niklas Bäckström,Win,9–2 (1),Georgi Stoyanov,Submission (rear-naked choke),Battle of Botnia 2015,"November 28, 2015",1,4:15
Niklas Bäckström,Loss,8–2 (1),Noad Lahat,Decision (majority),UFC Fight Night: Jedrzejczyk vs. Penne,"June 20, 2015",3,5:00
Niklas Bäckström,Loss,8–1 (1),Mike Wilkinson,KO (punches),UFC Fight Night: Nelson vs. Story,"October 4, 2014",1,1:19
Niklas Bäckström,Win,8–0 (1),Tom Niinimaki,Submission (bulldog choke),UFC Fight Night: Munoz vs. Mousasi,"May 31, 2014",1,4:15
Niklas Bäckström,Win,7–0 (1),Max Coga,TKO (front kick and punches),Europa MMA: Coga vs. Bäckström,"March 22, 2014",1,0:15
Niklas Bäckström,Win,6–0 (1),Jaakko Vayrynen,TKO (knee and punches),Lappeenranta Fight Night 9,"October 19, 2013",2,0:58
Niklas Bäckström,Win,5–0 (1),Thomas Hytten,TKO (punches),Vision FC Fight Night 1,"May 5, 2012",2,N/A
Niklas Bäckström,Win,4–0 (1),Sergej Grecicho,Decision (unanimous),Botnia Punishment 11,"March 23, 2012",3,5:00
Niklas Bäckström,Win,3–0 (1),Adam Edwards,Decision (unanimous),Cage Warriors: 41,"April 24, 2011",3,5:00
Niklas Bäckström,NC,2–0 (1),Elias Kunnas,No Contest,Artic Fight 3,"March 19, 2011",1,N/A
Niklas Bäckström,Win,2–0,Simon Sköld,TKO (punches),Superior Challenge 6,"October 29, 2010",3,3:23
Niklas Bäckström,Win,1–0,Gabriel Mboge Nesje,Submission (rear-naked choke),Superior Challenge 4,"October 31, 2009",1,2:30
Yuta Sasaki,Win,22-6-2,Manel Kape,Decision (unanimous),Rizin 14,"December 31, 2018",3,5:00
Yuta Sasaki,Loss,21–6–2,Alexandre Pantoja,Submission (rear-naked choke),UFC Fight Night: Magny vs. Ponzinibbio,"November 17, 2018",1,2:18
Yuta Sasaki,Win,21–5–2,Jenel Lausa,Submission (rear-naked choke),UFC Fight Night: Cowboy vs. Edwards,"June 23, 2018",2,4:04
Yuta Sasaki,Loss,20–5–2,Jussier Formiga,Submission (rear-naked choke),UFC Fight Night: Saint Preux vs. Okami,"September 23, 2017",1,4:30
Yuta Sasaki,Win,20–4–2,Justin Scoggins,Submission (rear-naked choke),UFC Fight Night: Holm vs. Correia,"June 17, 2017",2,3:19
Yuta Sasaki,Loss,19–4–2,Wilson Reis,Decision (unanimous),UFC 208,"February 11, 2017",3,5:00
Yuta Sasaki,Win,19–3–2,Willie Gates,Submission (rear-naked choke),UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016",2,2:30
Yuta Sasaki,Loss,18–3–2,Taylor Lapilus,TKO (punches),UFC Fight Night: Jedrzejczyk vs. Penne,"June 20, 2015",2,1:26
Yuta Sasaki,Loss,18–2–2,Leandro Issa,Submission (neck crank),UFC Fight Night: Machida vs. Dollaway,"December 20, 2014",2,4:13
Yuta Sasaki,Win,18–1–2,Roland Delorme,Submission (rear-naked choke),UFC Fight Night: Bisping vs. Le,"August 23, 2014",1,1:06
Yuta Sasaki,Win,17–1–2,Hong Jung-Gi,KO (punches),DEEP: Fujisan Festival,"May 25, 2014",1,0:38
Yuta Sasaki,Win,16–1–2,Teruto Ishihara,Technical Submission (rear-naked choke),Vale Tudo Japan 4th,"February 23, 2014",2,1:46
Yuta Sasaki,Win,15–1–2,Keisuke Fujiwara,Submission (rear-naked choke),Shooto: 1st Round 2014,"January 13, 2014",1,4:35
Yuta Sasaki,Win,14–1–2,Geun Do Park,Submission (rear-naked choke),Vale Tudo Japan 3rd,"October 5, 2013",1,1:36
Yuta Sasaki,Win,13–1–2,Kenji Yamamoto,KO (punch),Shooto: 3rd Round 2013,"July 27, 2013",1,0:11
Yuta Sasaki,Win,12–1–2,Kota Onojima,Decision (majority),Shooto: Gig Tokyo 14,"April 21, 2013",3,5:00
Yuta Sasaki,Win,11–1–2,Tetsu Suzuki,Decision (unanimous),Shooto: 1st Round 2013,"January 20, 2013",3,5:00
Yuta Sasaki,Draw,10–1–2,Manabu Inoue,Draw (majority),Shooto: 12th Round,"November 11, 2012",3,5:00
Yuta Sasaki,Win,10–1–1,Teruyuki Matsumoto,Submission (guillotine choke),Shooto: Gig Tokyo 10,"June 30, 2012",1,0:42
Yuta Sasaki,Win,9–1–1,Kazuhiro Ito,Submission (rear-naked choke),Shooto: Gig Tokyo 9,"April 14, 2012",2,3:34
Yuta Sasaki,Win,8–1–1,Satoshi Watanabe,Decision (unanimous),DEEP: Fujisan Festival,"January 29, 2012",2,5:00
Yuta Sasaki,Loss,7–1–1,Guy Delumeau,Decision (unanimous),Shooto: Shootor's Legacy 4,"September 23, 2011",3,5:00
Yuta Sasaki,Win,7–0–1,Kosuke Kindaichi,Decision (majority),Shooto: Shootor's Legacy 3,"July 18, 2011",2,5:00
Yuta Sasaki,Win,6–0–1,Yoshifumi Nakamura,Decision (majority),Shooto: Shootor's Legacy 2,"April 1, 2011",2,5:00
Yuta Sasaki,Draw,5–0–1,Yusuke Kagiyama,Draw,DEEP: Shizuoka Impact 2011,"February 6, 2011",2,5:00
Yuta Sasaki,Win,5–0,Yo Saito,Decision (unanimous),Shooto: The Rookie Tournament 2010 Final,"December 18, 2010",2,5:00
Yuta Sasaki,Win,4–0,Motohiro Takenawa,Decision (unanimous),Shooto: Kitazawa Shooto Vol. 4,"September 17, 2010",2,5:00
Yuta Sasaki,Win,3–0,Keiji Sakuta,Submission (rear-naked choke),GCM: Cage Force Preliminary Festival 1,"July 25, 2010",3,1:03
Yuta Sasaki,Win,2–0,Shinji Maeguchi,Submission (rear-naked choke),Shooto: Gig Central 20,"June 13, 2010",2,1:24
Yuta Sasaki,Win,1–0,Atsushi Masukura,Submission (rear-naked choke),GCM: Cage Force 16,"April 11, 2010",1,0:30
Clay Collard,Win,16–7 (1),Carson Gregory,Submission (Triangle Choke),SteelFist Fight Night 57 - Friday the 13th,"April 13, 2018",2,3:07
Clay Collard,Win,15–7 (1),Troy Dennison,TKO (punches),SteelFist Fight Night 55: Opposites Attack,"January 13, 2018",1,0:46
Clay Collard,Loss,14–7 (1),Tiago Trator,Decision (split),UFC 191,"September 5, 2015",3,5:00
Clay Collard,Loss,14–6 (1),Gabriel Benítez,Decision (unanimous),UFC 188,"June 13, 2015",3,5:00
Clay Collard,Win,14–5 (1),Alex White,Decision (unanimous),UFC 181,"December 6, 2014",3,5:00
Clay Collard,Loss,13–5 (1),Max Holloway,TKO (punches),UFC Fight Night: Henderson vs. dos Anjos,"August 23, 2014",3,3:47
Clay Collard,Win,13–4 (1),Nick Compton,Decision (unanimous),Showdown Fights 14: Heavyweight Collision,"June 28, 2014",3,5:00
Clay Collard,Win,12–4 (1),Jason Brenton,Decision (unanimous),Showdown Fights 13: Lopez vs. Castillo,"January 24, 2014",3,5:00
Clay Collard,Win,11–4 (1),Justin Buchholz,Decision (split),Showdown Fights 12: Buchholz vs. Collard 2,"September 28, 2013",5,5:00
Clay Collard,NC,10–4 (1),Jordan Clements,No Contest,Showdown Fights 10: Collard vs. Clements,"February 8, 2013",2,2:08
Clay Collard,Win,10–4,Steve Sharp,TKO (punches),Showdown Fights 9: Buchholz vs. Castillo,"November 16, 2012",2,4:44
Clay Collard,Loss,9–4,Justin Buchholz,Submission (guillotine choke),Showdown Fights 8: Burkman vs. Yager,"August 25, 2012",3,1:35
Clay Collard,Win,9–3,Steve Walser,TKO (punches),Showdown Fights 7: Uprising,"May 4, 2012",1,0:44
Clay Collard,Win,8–3,Scott Casey,Submission (rear-naked choke),Rocky Mountain Fight Championships 3,"March 24, 2012",1,4:36
Clay Collard,Win,7–3,Dustin Collins,TKO (retirement),Rocky Mountain Fight Championships 2,"January 14, 2012",1,5:00
Clay Collard,Win,6–3,Luke Pierce,TKO (punches),Flash Academy MMA: Fight Night Explosion,"November 26, 2011",1,2:47
Clay Collard,Win,5–3,Drayton Woods,Submission (rear-naked choke),Crown Fighting Championships 4,"October 29, 2011",1,3:07
Clay Collard,Loss,4–3,David Castillo,Decision (unanimous),Jeremy Horn's Elite Fight Night 14,"September 30, 2011",3,5:00
Clay Collard,Loss,4–2,Oliver Parker,Decision (unanimous),Moab Combat Sports: Red Rock Rumble 4,"September 24, 2011",3,5:00
Clay Collard,Win,4–1,Kyle Herrera,TKO (corner stoppage),Fight King: Fight for the Cops,"August 17, 2011",3,1:54
Clay Collard,Loss,3–1,Jose Salgado,Submission (rear-naked choke),Crown Fighting Championships 3,"June 18, 2011",2,2:38
Clay Collard,Win,3–0,Kevin Hamby Jacobson,TKO (punches),Flash Academy MMA: Mayhem & Motocross MMA Fight Night,"May 14, 2011",1,1:10
Clay Collard,Win,2–0,Kaifah Detoles,TKO (punches),Fight Kings 7: No Mercy,"April 2, 2011",2,2:02
Clay Collard,Win,1–0,Daniel Ruiz,TKO (punches),Moab Combat Sports: Red Rock Rumble 3,"March 26, 2011",1,2:11
Brian Ebersole,Loss,51–18–1 (1),Steven Kennedy,Decision (unanimous),Hex Fight Series 6,"June 24, 2016",5,5:00
Brian Ebersole,Loss,51–17–1 (1),Omari Akhmedov,TKO (knee injury),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",1,5:00
Brian Ebersole,Win,51–16–1 (1),John Howard,Decision (split),UFC 178,"September 27, 2014",3,5:00
Brian Ebersole,Loss,50–16–1 (1),Rick Story,Decision (unanimous),UFC 167,"November 16, 2013",3,5:00
Brian Ebersole,Loss,50–15–1 (1),James Head,Decision (split),UFC 149,"July 21, 2012",3,5:00
Brian Ebersole,Win,50–14–1 (1),TJ Waldburger,Decision (unanimous),UFC on FX: Maynard vs. Guida,"June 22, 2012",3,5:00
Brian Ebersole,Win,49–14–1 (1),Claude Patrick,Decision (split),UFC 140,"December 10, 2011",3,5:00
Brian Ebersole,Win,48–14–1 (1),Dennis Hallman,TKO (elbows),UFC 133,"August 6, 2011",1,4:28
Brian Ebersole,Win,47–14–1 (1),Chris Lytle,Decision (unanimous),UFC 127,"February 27, 2011",3,5:00
Brian Ebersole,Win,46–14–1 (1),Hamish Robertson,TKO (punches),LGIOP: Van Diemen's Caged Mayhem,"January 29, 2011",1,N/A
Brian Ebersole,Win,45–14–1 (1),Carlos Newton,Decision (unanimous),Impact FC 1,"July 10, 2010",3,5:00
Brian Ebersole,Win,44–14–1 (1),Martin van Staden,Submission (inverted triangle choke),Fight Force 5: Invasion,"April 15, 2010",3,N/A
Brian Ebersole,Win,43–14–1 (1),Ian James Schaffa,Submission (arm-triangle choke),XMMA 1: Xtreme MMA,"December 20, 2009",2,2:34
Brian Ebersole,Win,42–14–1 (1),Jai Bradney,Decision (unanimous),CWA: Staunch Cage Wars,"May 9, 2009",3,5:00
Brian Ebersole,Win,41–14–1 (1),Shannon Forrester,KO (cartwheel kick),XFC: Return of the Hulk,"March 14, 2009",1,N/A
Brian Ebersole,Win,40–14–1 (1),Shane Nix,TKO (knee injury),Cage Fighting Championships 6: Eliminator,"November 7, 2008",3,3:29
Brian Ebersole,Loss,39–14–1 (1),Hector Lombard,Submission (knee injury),Cage Fighting Championships 5,"September 12, 2008",4,1:56
Brian Ebersole,Win,39–13–1 (1),Wade Henderson,Submission (arm-triangle choke),Cage Fighting Championships 4,"May 23, 2008",1,1:25
Brian Ebersole,Win,38–13–1 (1),Dylan Andrews,TKO (punches),Cage Fighting Championships 3,"February 15, 2008",2,4:26
Brian Ebersole,Win,37–13–1 (1),Gordon Graff,Decision (unanimous),KOTC: Perth,"October 5, 2007",2,5:00
Brian Ebersole,Win,36–13–1 (1),Jon Valuri,Decision (unanimous),Shooto Australia: Superfight Australia 1,"May 26, 2007",2,5:00
Brian Ebersole,Loss,35–13–1 (1),Alex Schoenauer,Decision (split),IFL: Los Angeles,"March 17, 2007",3,4:00
Brian Ebersole,Win,35–12–1 (1),David Frendin,TKO (doctor stoppage),XFC 13: Global Warfare,"November 10, 2006",2,N/A
Brian Ebersole,Loss,34–12–1 (1),Kyle Noke,Decision (majority),XFC 12: Oktoberfist,"October 13, 2006",5,5:00
Brian Ebersole,NC,34–11–1 (1),Shannon Ritch,NC (overturned),FCP: Malice at Cow Palace,"September 9, 2006",1,3:46
Brian Ebersole,Win,34–11–1,Andrew Varney,Decision (unanimous),LOF 8: Legends of Fighting 8,"July 28, 2006",3,5:00
Brian Ebersole,Win,33–11–1,Matt Horwich,Decision (unanimous),Strikeforce: Shamrock vs. Gracie,"March 10, 2006",3,5:00
Brian Ebersole,Win,32–11–1,Alex Serdyukov,Decision (unanimous),ICFO 1: Stockton,"May 13, 2005",3,5:00
Brian Ebersole,Win,31–11–1,Andy Foster,Decision (unanimous),FT 6: Full Throttle 6,"February 11, 2005",3,5:00
Brian Ebersole,Loss,30–11–1,Masanori Suda,Submission (rear-naked choke),Shooto: 1/29 in Korakuen Hall,"January 29, 2005",3,2:59
Brian Ebersole,Win,30–10–1,Gordon Kalimic,Submission (arm-triangle choke),MMA Mexico: Day 1,"December 17, 2004",1,N/A
Brian Ebersole,Loss,29–10–1,John Renken,Decision (unanimous),FFC 12: Freestyle Fighting Championships 12,"September 24, 2004",3,5:00
Brian Ebersole,Win,29–9–1,Nick Thompson,TKO (punches),FFC 12: Freestyle Fighting Championships 12,"September 24, 2004",1,N/A
Brian Ebersole,Loss,28–9–1,Ed Herman,Submission (triangle choke),SF 5: Stadium,"August 28, 2004",2,N/A
Brian Ebersole,Win,28–8–1,Alexei Veselovzorov,TKO (punches),Euphoria: Russia vs USA,"March 13, 2004",3,2:26
Brian Ebersole,Win,27–8–1,Todd Carney,Decision (unanimous),KOTR: King of the Rockies 1,"January 3, 2004",4,5:00
Brian Ebersole,Win,26–8–1,Shane Tate,TKO (punches),EP: XXXtreme Impact,"December 28, 2003",1,1:38
Brian Ebersole,Win,25–8–1,Emanuel Newton,TKO (punches),CFM: Ultimate Fighting Mexico,"November 15, 2003",4,N/A
Brian Ebersole,Draw,24–8–1,Brad Lynde,Draw,FCC 12: Freestyle Combat Challenge 12,"October 18, 2003",2,5:00
Brian Ebersole,Win,24–8,Chris Fontaine,Decision (unanimous),CFM: Octogono Extremo,"September 27, 2003",3,4:00
Brian Ebersole,Loss,23–8,Tony Fryklund,Submission (ankle lock),Dangerzone 17: Dakota Destruction,"April 12, 2003",2,4:37
Brian Ebersole,Win,23–7,David Harris,Decision (unanimous),CFM: Cage Fighting Monterrey,"January 30, 2003",3,5:00
Brian Ebersole,Win,22–7,Shannon Ritch,TKO (punch),CFM: Ultimate Fighting,"October 26, 2002",1,3:40
Brian Ebersole,Loss,21–7,Bret Bergmark,Decision (split),UA 4: King of the Mountain,"September 28, 2002",3,5:00
Brian Ebersole,Win,21–6,Tom Martini,Submission (punches),UW: Minnesota,"September 7, 2002",1,N/A
Brian Ebersole,Win,20–6,Rene Hernandez,Submission (arm-triangle choke),MMA: Cuando Hierve la Sangre,"August 31, 2002",2,N/A
Brian Ebersole,Win,19–6,Shane Schartzer,Submission (kimura),MMA: Cuando Hierve la Sangre,"August 31, 2002",1,N/A
Brian Ebersole,Win,18–6,Joel Blanton,TKO (punches),UW: Minnesota,"August 24, 2002",1,4:00
Brian Ebersole,Win,17–6,Dan Hart,Technical Submission (guillotine choke),CR 4: Cage Rage 4,"August 17, 2002",1,1:48
Brian Ebersole,Win,16–6,Nathan McCabe,TKO (punches),RFC 1: The Beginning,"July 13, 2002",1,2:15
Brian Ebersole,Win,15–6,Desmond Peterson,Submission (punches),BEFC 2: Big Easy Fighting 2,"June 28, 2002",1,N/A
Brian Ebersole,Win,14–6,Rich Guerin,Decision,CLM 2: Combate Libre Mexico 2,"April 26, 2002",N/A,N/A
Brian Ebersole,Win,13–6,Edwin Aguilar,Submission (rear-naked choke),CLM 2: Combate Libre Mexico 2,"April 26, 2002",N/A,N/A
Brian Ebersole,Win,12–6,Chris Gates,Submission (armbar),CLM 2: Combate Libre Mexico 2,"April 26, 2002",N/A,N/A
Brian Ebersole,Loss,11–6,Jay Massey,Submission (rear-naked choke),TCC: Battle of the Badges,"April 13, 2002",1,N/A
Brian Ebersole,Win,11–5,Jamie Schell,KO (punch),UW: Horn vs Wikan,"March 2, 2002",2,0:43
Brian Ebersole,Win,10–5,Josh Mueller,Submission (rear-naked choke),UW: Battle for the Belts,"March 2, 2002",1,0:37
Brian Ebersole,Loss,9–5,Kerry Schall,Submission (kneebar),UW: Battle for the Belts,"December 8, 2001",1,3:15
Brian Ebersole,Win,9–4,Mark Lowry,Submission (arm-triangle choke),UW: Battle for the Belts,"December 8, 2001",1,3:22
Brian Ebersole,Loss,8–4,Stephan Bonnar,Submission (guillotine choke),IHC 3: Exodus,"November 10, 2001",1,0:51
Brian Ebersole,Win,8–3,Eric Zent,Submission (choke),CR 3: Cage Rage 3,"October 20, 2001",2,1:00
Brian Ebersole,Win,7–3,Ed Meyers,Submission (choke),CR 3: Cage Rage 3,"October 20, 2001",1,3:36
Brian Ebersole,Loss,6–3,Adrian Serrano,Submission (rear-naked choke),TCC: Total Combat Challenge,"September 29, 2001",1,5:10
Brian Ebersole,Win,6–2,Darrell Smith,Submission (armbar),FFCC: Finke's Full Contact Challenge,"May 21, 2001",2,N/A
Brian Ebersole,Win,5–2,Josh Hoover,Submission (slam),FFCC: Finke's Full Contact Challenge,"May 21, 2001",3,N/A
Brian Ebersole,Win,4–2,Eddie Sanchez,Decision (unanimous),FFCC: Finke's Full Contact Challenge,"April 30, 2001",2,5:00
Brian Ebersole,Loss,3–2,Jay Massey,Submission (armbar),MMA: Invitational 4,"November 18, 2000",1,1:22
Brian Ebersole,Win,3–1,Jeremy Morrison,Submission (armbar),FFCC: Finke's Full Contact Challenge,"July 28, 2000",1,N/A
Brian Ebersole,Win,2–1,Enrique Lowe,Submission (armbar),FFCC: Finke's Full Contact Challenge,"June 16, 2000",1,3:50
Brian Ebersole,Win,1–1,Jose Garcia,Submission (rear-naked choke),TCC: Total Combat Challenge,"June 10, 2000",1,N/A
Brian Ebersole,Loss,0–1,Chris Albandia,Decision,TCC: Total Combat Challenge,"February 24, 2000",1,10:00
Justin Edwards,Win,10–6,Carlo Prater,Submission (guillotine choke),Premier Fighting Championship 9,"August 11, 2018",3,1:44
Justin Edwards,Loss,9–6,Devonte Smith,KO (punch),Alliance MMA at the Arnold Sports Festival,"March 3, 2018",1,1:30
Justin Edwards,Win,9–5,Cody Pahan,Submission (guillotine choke),Fight Night at the Island: Saunders vs. Volkmann,"September 9, 2016",1,1:24
Justin Edwards,Loss,8–5,Joe Proctor,Technical Submission (guillotine choke),UFC Fight Night: Boetsch vs. Henderson,"June 6, 2015",3,4:58
Justin Edwards,Loss,8–4,Ramsey Nijem,Decision (unanimous),UFC Fight Night: Rockhold vs. Philippou,"January 15, 2014",3,5:00
Justin Edwards,Loss,8–3,Brandon Thatch,TKO (knees and punches),UFC Fight Night: Condit vs. Kampmann 2,"August 28, 2013",1,1:23
Justin Edwards,Win,8–2,Josh Neer,Technical Submission (guillotine choke),UFC on FX: Browne vs. Bigfoot,"October 5, 2012",1,0:45
Justin Edwards,Loss,7–2,John Maguire,Decision (unanimous),UFC 138,"November 5, 2011",3,5:00
Justin Edwards,Win,7–1,Jorge Lopez,Decision (unanimous),UFC Fight Night: Shields vs. Ellenberger,"September 17, 2011",3,5:00
Justin Edwards,Loss,6–1,Clay Harvison,Decision (split),The Ultimate Fighter 13 Finale,"June 4, 2011",3,5:00
Justin Edwards,Win,6–0,Marcus Ajian,Submission (guillotine choke),CNG Promotions: Queen City Meltdown,"June 26, 2010",1,0:40
Justin Edwards,Win,5–0,Tony Parker,Submission (guillotine choke),Extreme IT Challenge,"April 10, 2010",1,1:20
Justin Edwards,Win,4–0,Dan Stittgen,Submission (guillotine choke),IFC: Wiuff vs. Newcomb,"January 8, 2010",1,0:37
Justin Edwards,Win,3–0,Davarius Scaife,Submission (armbar),IFC: Wiuff vs. Newcomb,"January 8, 2010",1,0:48
Justin Edwards,Win,2–0,John Troyer,Submission (guillotine choke),Bellator 5,"May 1, 2009",1,4:12
Justin Edwards,Win,1–0,Josh Rafferty,TKO (punches),Extreme Challenge 111,"November 21, 2008",1,0:30
Ryan Jimmo,Loss,19–5,Francimar Barroso,Decision (unanimous),UFC Fight Night: Condit vs. Alves,"May 30, 2015",3,5:00
Ryan Jimmo,Loss,19–4,Ovince Saint Preux,Submission (kimura),UFC 174,"June 14, 2014",2,2:10
Ryan Jimmo,Win,19–3,Sean O'Connell,KO (punches),The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,"April 16, 2014",1,4:27
